best_seller,course_rating_avarage,course_price,num_of_buyers_students,amount_of_instructor_studnets,num_articles,video_time_length,number_of_languages,last_update,instructor_rank,amount_of_what_you_will_learn_count,amount_of_requirments_count,amount_of_companies_support,course_rating_amount
1,4.7,59.9,3496,581025,9,27.0,2,30,4.5,29,6,0,467
1,4.2,59.9,3747,4098,8,30.5,2,30,4.4,15,6,0,421
1,4.5,59.9,4457,980,32,16.0,2,275,4.6,6,7,5,515
0,4.4,59.9,2313,547988,1,10.5,2,30,4.5,17,7,5,401
0,4.6,59.9,8128,528389,11,11.5,2,215,4.6,8,6,5,1034
0,4.3,59.9,114769,6192,2,6.0,2,305,4.3,13,6,0,862
0,4.3,59.9,4380,40518,4,28.5,2,60,4.2,5,6,5,727
0,4.2,59.9,51071,189328,1,2.0,2,150,4.3,5,6,0,250
0,4.6,59.9,670,1185,7,4.5,2,30,4.7,13,7,0,154
0,4.9,59.9,8240,160567,2,4.0,2,215,4.4,10,5,5,628
0,4.1,59.9,1783,2218,1,6.5,2,30,4.0,5,6,5,222
0,4.3,59.9,30860,94966,14,20.5,2,90,4.2,16,6,0,274
0,4.5,59.9,8453,160567,1,2.0,2,215,4.4,8,5,5,841
0,4.3,59.9,175114,400746,1,5.5,2,305,4.2,14,6,0,2200
0,4.2,59.9,7539,1882695,11,4.0,2,730,4.6,12,6,5,1063
0,4.3,59.9,231738,1153502,1,7.5,2,60,4.2,8,5,0,2494
0,4.4,59.9,28053,189328,1,2.5,2,30,4.3,6,6,0,100
0,4.5,59.9,722,4896,9,29.5,2,850,4.2,18,6,0,153
0,4.4,59.9,6472,1882695,15,8.5,2,30,4.6,13,5,5,693
0,4.7,59.9,41606,725116,1,4.5,2,365,4.1,8,6,0,377
0,4.5,59.9,202446,538436,1,5.5,2,305,4.3,11,6,0,2333
0,4.4,59.9,23538,75708,2,13.0,2,90,4.4,8,5,0,170
0,4.5,59.9,50625,75708,2,20.0,2,150,4.4,4,5,0,336
0,4.4,59.9,1764,7409,5,22.5,2,215,4.6,8,7,0,280
0,4.0,59.9,177583,704589,1,12.0,2,610,4.2,10,5,0,826
0,4.4,59.9,112066,1444873,4,9.5,2,150,4.4,6,8,0,1103
0,4.2,59.9,3020,3132,1,2.0,2,30,4.2,10,7,5,215
1,4.4,59.9,4368,528389,3,8.5,2,275,4.6,7,6,5,597
0,4.3,59.9,142356,1444873,16,7.5,2,150,4.4,12,6,5,1208
0,4.5,59.9,16291,17541,4,11.5,2,245,4.4,13,6,5,738
0,4.3,59.9,177900,400746,1,4.5,2,305,4.2,15,6,0,1197
0,4.4,59.9,301,234,1,15.0,2,30,4.4,26,6,5,36
0,4.5,59.9,26127,1444873,7,19.0,2,150,4.4,10,6,0,381
0,4.1,59.9,127858,268551,11,3.0,2,580,4.2,6,7,0,1220
0,4.6,59.9,4052,4052,28,17.5,2,30,4.6,19,6,0,596
1,4.4,59.9,3738,9820,1,2.5,2,215,4.4,5,6,5,255
0,4.4,59.9,13921,82339,1,6.5,5,215,4.4,9,6,5,621
0,4.5,59.9,17734,235072,4,9.5,2,30,4.5,38,5,0,164
0,4.3,59.9,68678,70344,3,14.5,2,150,4.4,8,6,0,1014
0,4.2,59.9,33413,33413,18,20.5,2,30,4.2,10,6,0,162
0,4.1,59.9,155285,3342,5,5.0,2,515,4.2,8,5,0,709
0,4.3,59.9,202300,704589,1,13.0,2,670,4.2,6,5,0,1528
0,4.4,59.9,10237,1294448,1,5.0,2,1975,4.3,3,6,0,2888
0,4.3,59.9,4840,82339,1,4.5,2,335,4.4,8,6,5,829
0,4.7,59.9,20609,204222,1,4.0,2,215,4.5,5,6,5,301
0,4.7,59.9,34606,201136,2,7.5,2,365,4.3,3,6,0,311
0,4.2,59.9,5993,160567,2,1.5,2,215,4.4,10,5,5,648
0,4.7,59.9,144495,1444873,3,11.0,2,150,4.4,5,6,0,765
0,4.2,59.9,3675,70344,3,10.5,2,150,4.4,7,6,0,164
1,4.4,59.9,10162,52442,7,10.0,2,580,4.5,3,6,5,1449
0,4.2,59.9,6688,11901,1,20.5,2,1645,3.9,2,6,0,417
0,4.1,59.9,175015,227722,1,15.5,2,820,4.1,7,6,0,841
0,4.6,59.9,108798,1444873,4,7.5,2,150,4.4,5,5,0,1066
0,4.5,59.9,3907,39618,9,4.5,2,60,4.3,4,6,5,286
1,4.5,59.9,8823,28999,6,5.5,2,275,4.6,9,7,5,1722
1,4.5,59.9,19801,50054,14,3.0,2,30,4.5,7,5,5,3420
0,4.6,59.9,4865,7727,3,2.0,2,245,4.6,4,6,0,81
0,4.4,59.9,4814,6435,11,2.0,2,215,4.0,11,5,0,84
0,4.9,59.9,124,2433,2,12.5,2,30,4.8,6,6,0,15
0,4.7,59.9,7226,14259,16,6.5,2,30,4.5,16,6,0,50
0,4.8,59.9,441,235072,1,8.0,2,30,4.5,28,5,0,98
0,4.7,59.9,1095,303826,8,20.0,2,30,4.5,18,6,0,176
0,4.5,59.9,943,197,2,4.5,2,455,4.6,5,5,0,180
0,4.7,59.9,7473,71266,4,9.0,2,1430,4.3,9,6,0,618
0,4.4,59.9,41918,978618,3,11.0,2,335,4.5,12,6,0,2465
1,4.5,59.9,578,2724,1,3.5,2,120,4.3,10,6,0,78
1,4.8,59.9,2153,12498,1,24.0,2,730,4.6,20,6,0,287
0,4.4,59.9,55588,55588,3,4.5,2,120,4.4,8,8,0,793
0,4.6,59.9,3931,33471,10,7.5,2,30,4.3,6,9,0,71
0,4.6,59.9,532,12881,53,5.0,2,515,4.6,8,7,0,58
0,4.7,59.9,241,241,1,5.5,2,515,4.7,7,8,0,22
1,4.4,59.9,20093,28319,40,8.5,2,395,4.4,21,6,5,3240
0,4.7,59.9,71920,391646,1,14.5,2,610,4.2,7,6,0,1854
0,4.5,59.9,553,3564,31,20.5,2,90,4.6,4,7,0,36
0,4.8,59.9,29169,725116,5,19.0,2,365,4.1,7,6,0,310
0,4.9,59.9,767,41675,40,8.5,2,30,4.6,10,6,0,84
